,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
111,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2014,2014,04000US30,Montana,8,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
112,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2014,2014,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
113,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2014,2014,04000US30,Montana,9,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
114,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2014,2014,04000US30,Montana,84,36.124783736376884,"Gardiner, MT",16000US3029950,gardiner-mt
115,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2014,2014,04000US30,Montana,8,9.219544457292887,"Gardiner, MT",16000US3029950,gardiner-mt
116,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2014,2014,04000US30,Montana,117,71.47027354082255,"Gardiner, MT",16000US3029950,gardiner-mt
117,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2014,2014,04000US30,Montana,164,68.26419266350405,"Gardiner, MT",16000US3029950,gardiner-mt
118,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2014,2014,04000US30,Montana,31,22.360679774997898,"Gardiner, MT",16000US3029950,gardiner-mt
119,12,Public Administration (Group),19,Public Administration,2014,2014,04000US30,Montana,73,42.379240200834175,"Gardiner, MT",16000US3029950,gardiner-mt
120,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2013,2013,04000US30,Montana,24,22.62741699796952,"Gardiner, MT",16000US3029950,gardiner-mt
121,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2013,2013,04000US30,Montana,5,12.206555615733702,"Gardiner, MT",16000US3029950,gardiner-mt
122,1,Construction (Group),2,Construction,2013,2013,04000US30,Montana,7,12.806248474865697,"Gardiner, MT",16000US3029950,gardiner-mt
